,District,Type,Count,Amount,Year,state,Quater
0,kargil district,TOTAL,1244,3430931.079044319,2018,ladakh,Q1
1,leh ladakh district,TOTAL,4845,9101926.692070464,2018,ladakh,Q1
2,kargil district,TOTAL,4041,14170742.184864359,2018,ladakh,Q2
3,leh ladakh district,TOTAL,10969,33164160.35287711,2018,ladakh,Q2
4,kargil district,TOTAL,6149,20173133.975538384,2018,ladakh,Q3
5,leh ladakh district,TOTAL,18715,63917843.16930765,2018,ladakh,Q3
6,kargil district,TOTAL,8373,31643842.130934663,2018,ladakh,Q4
7,leh ladakh district,TOTAL,26838,103879000.36170289,2018,ladakh,Q4
8,kargil district,TOTAL,9825,34328560.502981424,2019,ladakh,Q1
9,leh ladakh district,TOTAL,36320,118531360.44614574,2019,ladakh,Q1
10,kargil district,TOTAL,15289,57479644.79749024,2019,ladakh,Q2
11,leh ladakh district,TOTAL,53483,201775862.19993445,2019,ladakh,Q2
12,kargil district,TOTAL,13855,47841053.992474176,2019,ladakh,Q3
13,leh ladakh district,TOTAL,78541,283288473.2013481,2019,ladakh,Q3
14,kargil district,TOTAL,5302,22099751.43707087,2019,ladakh,Q4
15,leh ladakh district,TOTAL,79404,302589608.5910406,2019,ladakh,Q4
16,kargil district,TOTAL,24169,68749860.73527026,2020,ladakh,Q1
17,leh ladakh district,TOTAL,92250,308889816.71047306,2020,ladakh,Q1
18,kargil district,TOTAL,38403,125414514.13487196,2020,ladakh,Q2
19,leh ladakh district,TOTAL,116607,398378484.5171527,2020,ladakh,Q2
20,kargil district,TOTAL,53708,183140893.8302123,2020,ladakh,Q3
21,leh ladakh district,TOTAL,174514,652346606.227981,2020,ladakh,Q3
22,kargil district,TOTAL,79680,242682676.5979519,2020,ladakh,Q4
23,leh ladakh district,TOTAL,252454,869280793.9100087,2020,ladakh,Q4
24,kargil district,TOTAL,58756,181498257.68860364,2021,ladakh,Q1
25,leh ladakh district,TOTAL,216659,801921555.5582755,2021,ladakh,Q1
26,kargil district,TOTAL,91914,284985335.7109177,2021,ladakh,Q2
