,District name,No of Registered User,AppOpens,Year,State Name,Quater
0,kargil district,1529,0,2018,ladakh,Q1
1,leh ladakh district,7255,0,2018,ladakh,Q1
2,kargil district,2185,0,2018,ladakh,Q2
3,leh ladakh district,10733,0,2018,ladakh,Q2
4,kargil district,3132,0,2018,ladakh,Q3
5,leh ladakh district,14617,0,2018,ladakh,Q3
6,kargil district,4436,0,2018,ladakh,Q4
7,leh ladakh district,19447,0,2018,ladakh,Q4
8,kargil district,5758,0,2019,ladakh,Q1
9,leh ladakh district,23891,0,2019,ladakh,Q1
10,kargil district,7126,37803,2019,ladakh,Q2
11,leh ladakh district,28390,119514,2019,ladakh,Q2
12,kargil district,7718,75759,2019,ladakh,Q3
13,leh ladakh district,31455,427367,2019,ladakh,Q3
14,kargil district,8338,29350,2019,ladakh,Q4
15,leh ladakh district,34770,441090,2019,ladakh,Q4
16,kargil district,9711,120845,2020,ladakh,Q1
17,leh ladakh district,38079,469639,2020,ladakh,Q1
18,kargil district,11252,169411,2020,ladakh,Q2
19,leh ladakh district,41782,526262,2020,ladakh,Q2
20,kargil district,12814,229879,2020,ladakh,Q3
21,leh ladakh district,45587,785801,2020,ladakh,Q3
22,kargil district,14601,273960,2020,ladakh,Q4
23,leh ladakh district,50252,958797,2020,ladakh,Q4
24,kargil district,15824,237045,2021,ladakh,Q1
25,leh ladakh district,54095,947159,2021,ladakh,Q1
26,kargil district,17077,1494139,2021,ladakh,Q2
27,leh ladakh district,57971,2897493,2021,ladakh,Q2
28,kargil district,18577,2373080,2021,ladakh,Q3
29,leh ladakh district,62633,4726470,2021,ladakh,Q3
30,kargil district,20008,573827,2021,ladakh,Q4
31,leh ladakh district,67049,2091376,2021,ladakh,Q4
32,kargil district,21319,2837111,2022,ladakh,Q1
33,leh ladakh district,71173,6064969,2022,ladakh,Q1
34,kargil district,22475,5003733,2022,ladakh,Q2
35,leh ladakh district,75042,9764396,2022,ladakh,Q2
36,kargil district,23530,7104562,2022,ladakh,Q3
37,leh ladakh district,78769,12630219,2022,ladakh,Q3
38,kargil district,24326,909994,2022,ladakh,Q4
39,leh ladakh district,82011,2922345,2022,ladakh,Q4
40,mysuru district,150799,0,2018,karnataka,Q1
41,chitradurga district,41656,0,2018,karnataka,Q1
42,kalaburagi district,81933,0,2018,karnataka,Q1
43,ramanagara district,47100,0,2018,karnataka,Q1
44,mandya district,50951,0,2018,karnataka,Q1
45,kodagu district,14783,0,2018,karnataka,Q1
46,chikkamagaluru district,32240,0,2018,karnataka,Q1
47,haveri district,33262,0,2018,karnataka,Q1
48,ballari district,103566,0,2018,karnataka,Q1
49,belagavi district,140320,0,2018,karnataka,Q1
50,kolar district,60498,0,2018,karnataka,Q1
51,uttara kannada district,48635,0,2018,karnataka,Q1
52,tumakuru district,82955,0,2018,karnataka,Q1
53,yadgir district,21121,0,2018,karnataka,Q1
54,bengaluru urban district,1922368,0,2018,karnataka,Q1
55,chikkaballapura district,43074,0,2018,karnataka,Q1
56,davanagere district,68178,0,2018,karnataka,Q1
57,bagalkote district,63460,0,2018,karnataka,Q1
58,vijayapura district,68814,0,2018,karnataka,Q1
59,koppal district,34963,0,2018,karnataka,Q1
60,bidar district,58446,0,2018,karnataka,Q1
61,bengaluru rural district,87955,0,2018,karnataka,Q1
62,raichur district,58544,0,2018,karnataka,Q1
63,chamarajanagara district,17398,0,2018,karnataka,Q1
64,dakshina kannada district,87491,0,2018,karnataka,Q1
65,hassan district,51642,0,2018,karnataka,Q1
66,dharwad district,106877,0,2018,karnataka,Q1
67,shivamogga district,60797,0,2018,karnataka,Q1
68,udupi district,49362,0,2018,karnataka,Q1
69,gadag district,28575,0,2018,karnataka,Q1
70,mysuru district,205044,0,2018,karnataka,Q2
71,chitradurga district,59180,0,2018,karnataka,Q2
72,kalaburagi district,113205,0,2018,karnataka,Q2
73,ramanagara district,66427,0,2018,karnataka,Q2
