,District,Type,Count,Amount,Year,state
0,chandigarh district,TOTAL,381895,613435420.8676233,2018,chandigarh
1,chandigarh district,TOTAL,479084,961223261.74473,2018,chandigarh
2,chandigarh district,TOTAL,616936,1369354447.5343118,2018,chandigarh
3,chandigarh district,TOTAL,905116,2032591591.779975,2018,chandigarh
4,chandigarh district,TOTAL,1274476,2396032050.444029,2019,chandigarh
5,chandigarh district,TOTAL,1252470,2693116098.9444556,2019,chandigarh
6,chandigarh district,TOTAL,1506543,3269682087.660841,2019,chandigarh
7,chandigarh district,TOTAL,1850915,4152513817.939354,2019,chandigarh
8,chandigarh district,TOTAL,2262511,5126453070.016205,2020,chandigarh
9,chandigarh district,TOTAL,1528010,3847015729.690074,2020,chandigarh
10,chandigarh district,TOTAL,2158086,5089809353.36507,2020,chandigarh
11,chandigarh district,TOTAL,2912716,6146762901.349346,2020,chandigarh
12,chandigarh district,TOTAL,3970237,7596420859.545994,2021,chandigarh
13,chandigarh district,TOTAL,4417547,8417673939.936101,2021,chandigarh
14,chandigarh district,TOTAL,6649378,11815883004.693304,2021,chandigarh
15,chandigarh district,TOTAL,7898903,14373583510.61845,2021,chandigarh
16,chandigarh district,TOTAL,8600491,15174991549.84,2022,chandigarh
17,chandigarh district,TOTAL,10772489,17283500158.371002,2022,chandigarh
18,chandigarh district,TOTAL,13478173,20559757737.405857,2022,chandigarh
19,chandigarh district,TOTAL,17904840,27879754566.939415,2022,chandigarh
20,kangpokpi district,TOTAL,4187,12129421.383849183,2018,manipur
21,noney district,TOTAL,646,747261.2810295916,2018,manipur
22,imphal east district,TOTAL,21960,26028937.81002756,2018,manipur
23,thoubal district,TOTAL,8288,8366772.887529282,2018,manipur
24,kakching district,TOTAL,1622,1924584.2384454876,2018,manipur
25,jiribam district,TOTAL,1305,3564799.4519929583,2018,manipur
26,ukhrul district,TOTAL,1399,1647288.6651835062,2018,manipur
27,tamenglong district,TOTAL,1007,1709209.2458958817,2018,manipur
28,kamjong district,TOTAL,329,236107.7403536682,2018,manipur
29,chandel district,TOTAL,880,1376995.1405003848,2018,manipur
30,bishnupur district,TOTAL,7005,11341627.667845085,2018,manipur
31,senapati district,TOTAL,613,577840.1682329748,2018,manipur
32,pherzawl district,TOTAL,2,778.0896294258192,2018,manipur
33,churachandpur district,TOTAL,4081,11708258.721273843,2018,manipur
34,tengnoupal district,TOTAL,882,660028.7721459618,2018,manipur
35,imphal west district,TOTAL,29863,46026262.666274294,2018,manipur
36,kangpokpi district,TOTAL,6741,20315625.91653779,2018,manipur
37,noney district,TOTAL,1051,2486030.8565162863,2018,manipur
38,imphal east district,TOTAL,42065,54561898.7454827,2018,manipur
39,thoubal district,TOTAL,20689,17968719.216563758,2018,manipur
40,kakching district,TOTAL,3879,6411513.656549769,2018,manipur
41,jiribam district,TOTAL,2710,6467614.407545684,2018,manipur
42,ukhrul district,TOTAL,2800,6394470.819340965,2018,manipur
43,tamenglong district,TOTAL,1714,4747280.086110413,2018,manipur
44,kamjong district,TOTAL,340,446574.11265748634,2018,manipur
45,chandel district,TOTAL,1619,3525831.9511511945,2018,manipur
46,bishnupur district,TOTAL,11338,19352100.53894212,2018,manipur
47,senapati district,TOTAL,970,2034357.3575923673,2018,manipur
48,pherzawl district,TOTAL,11,1036.3525697348664,2018,manipur
49,churachandpur district,TOTAL,7110,18055703.27078783,2018,manipur
50,tengnoupal district,TOTAL,2080,6077962.2428630125,2018,manipur
51,imphal west district,TOTAL,46604,84363001.78828333,2018,manipur
52,kangpokpi district,TOTAL,9151,27937402.09243063,2018,manipur
53,noney district,TOTAL,1636,3959453.6371438224,2018,manipur
54,imphal east district,TOTAL,60511,89605715.78431109,2018,manipur
55,thoubal district,TOTAL,19399,34092748.23724542,2018,manipur
56,kakching district,TOTAL,4590,9968419.417644013,2018,manipur
57,jiribam district,TOTAL,3959,6601625.253335206,2018,manipur
58,ukhrul district,TOTAL,3600,9802720.723219434,2018,manipur
59,tamenglong district,TOTAL,2829,6192820.941522401,2018,manipur
60,kamjong district,TOTAL,349,673262.7657017015,2018,manipur
61,chandel district,TOTAL,2591,5588239.711362864,2018,manipur
62,bishnupur district,TOTAL,13649,24368236.711014666,2018,manipur
63,senapati district,TOTAL,1416,2555370.7700600782,2018,manipur
64,pherzawl district,TOTAL,48,97583.08278583639,2018,manipur
65,churachandpur district,TOTAL,8671,27468832.413289707,2018,manipur
66,tengnoupal district,TOTAL,3282,13385091.180977922,2018,manipur
67,imphal west district,TOTAL,53577,121033722.07207742,2018,manipur
68,kangpokpi district,TOTAL,13325,42081524.606101125,2018,manipur
69,noney district,TOTAL,2598,7315230.191123211,2018,manipur
70,imphal east district,TOTAL,54610,129176222.41262636,2018,manipur
71,thoubal district,TOTAL,24817,52899731.29086943,2018,manipur
72,kakching district,TOTAL,6508,13429124.004544508,2018,manipur
73,jiribam district,TOTAL,5444,13414981.155959103,2018,manipur
74,ukhrul district,TOTAL,4538,15201316.568829268,2018,manipur
75,tamenglong district,TOTAL,4866,13057576.00717781,2018,manipur
76,kamjong district,TOTAL,845,2822478.1128238714,2018,manipur
77,chandel district,TOTAL,4425,13092276.488481913,2018,manipur
78,bishnupur district,TOTAL,19048,37263259.12396772,2018,manipur
79,senapati district,TOTAL,2902,7569372.186811532,2018,manipur
80,pherzawl district,TOTAL,112,103445.61904358957,2018,manipur
81,churachandpur district,TOTAL,14801,54503246.75234864,2018,manipur
82,tengnoupal district,TOTAL,5426,22155446.62844094,2018,manipur
83,imphal west district,TOTAL,71845,181598328.15686062,2018,manipur
84,kangpokpi district,TOTAL,15937,42225052.52830845,2019,manipur
85,noney district,TOTAL,3526,7995454.9708068315,2019,manipur
86,imphal east district,TOTAL,65076,147611078.93080652,2019,manipur
87,thoubal district,TOTAL,24257,47210976.00123881,2019,manipur
88,kakching district,TOTAL,6683,13774811.29579331,2019,manipur
89,jiribam district,TOTAL,5957,16988787.69086654,2019,manipur
90,ukhrul district,TOTAL,6222,16838560.88842248,2019,manipur
91,tamenglong district,TOTAL,6373,13975000.543136504,2019,manipur
92,kamjong district,TOTAL,994,2575925.7869967697,2019,manipur
93,chandel district,TOTAL,4711,14267105.401719613,2019,manipur
94,bishnupur district,TOTAL,19486,48193281.39036342,2019,manipur
95,senapati district,TOTAL,3382,7787710.744660139,2019,manipur
96,pherzawl district,TOTAL,189,363380.8157813267,2019,manipur
97,churachandpur district,TOTAL,16940,53360483.20022403,2019,manipur
98,tengnoupal district,TOTAL,6064,21054191.304917272,2019,manipur
99,imphal west district,TOTAL,79612,205676258.93003774,2019,manipur
100,kangpokpi district,TOTAL,16230,47129360.10420917,2019,manipur
101,noney district,TOTAL,3382,10075253.477492668,2019,manipur
102,imphal east district,TOTAL,60830,163251483.39407197,2019,manipur
103,thoubal district,TOTAL,20528,50609235.60475471,2019,manipur
