,State name,Pincode,Type,Count,Amount,Year,Quater
0,maharashtra,0,TOTAL,16387034,21711613257.725674,2018,Q1
1,uttar pradesh,0,TOTAL,12537805,13939970923.223106,2018,Q1
2,karnataka,0,TOTAL,12016899,19217895314.012802,2018,Q1
3,west bengal,0,TOTAL,11710225,10625978552.140453,2018,Q1
4,andhra pradesh,0,TOTAL,9039585,11996276391.823706,2018,Q1
5,telangana,0,TOTAL,8522766,13308204118.542435,2018,Q1
6,madhya pradesh,0,TOTAL,8025395,8681603403.446348,2018,Q1
7,rajasthan,0,TOTAL,7591690,8926293130.72684,2018,Q1
8,delhi,0,TOTAL,7122754,11211503806.91996,2018,Q1
9,tamil nadu,0,TOTAL,6726622,11261557697.516891,2018,Q1
10,null,560001,TOTAL,2917356,4684262246.184548,2018,Q1
11,null,110006,TOTAL,2636324,3714139312.238586,2018,Q1
12,null,400008,TOTAL,2227885,3105208723.475169,2018,Q1
13,null,600003,TOTAL,2010196,2997847000.265506,2018,Q1
14,null,731101,TOTAL,1764956,2366771285.7278423,2018,Q1
15,null,700009,TOTAL,1390629,1851145374.4001179,2018,Q1
16,null,411001,TOTAL,1055656,1413523605.5956619,2018,Q1
17,null,500012,TOTAL,933013,1643061976.4262943,2018,Q1
18,null,462001,TOTAL,832846,898730606.684653,2018,Q1
19,null,201301,TOTAL,690196,987613438.9540119,2018,Q1
20,maharashtra,0,TOTAL,22285740,36357057241.12254,2018,Q2
21,west bengal,0,TOTAL,18082446,18629183470.204285,2018,Q2
22,uttar pradesh,0,TOTAL,17710943,25720201695.701435,2018,Q2
23,karnataka,0,TOTAL,17116447,33515580081.29709,2018,Q2
24,andhra pradesh,0,TOTAL,12353918,22883914272.633617,2018,Q2
25,telangana,0,TOTAL,10764670,23017201517.652737,2018,Q2
26,madhya pradesh,0,TOTAL,10561412,15924081066.680984,2018,Q2
27,tamil nadu,0,TOTAL,9992128,20125844276.267662,2018,Q2
28,rajasthan,0,TOTAL,9973697,15559086175.759623,2018,Q2
29,delhi,0,TOTAL,9373723,17446299902.205147,2018,Q2
30,null,560001,TOTAL,3777086,7545089760.607167,2018,Q2
31,null,110006,TOTAL,3069733,5237594871.124264,2018,Q2
