,District,Pincode,No of Registered User,Year,state,Quater
0,leh ladakh,0,7255,2018,ladakh,Q1
1,kargil,0,1529,2018,ladakh,Q1
2,null,194104,2329,2018,ladakh,Q1
3,null,194101,1584,2018,ladakh,Q1
4,null,194201,1397,2018,ladakh,Q1
5,null,194401,670,2018,ladakh,Q1
6,null,194107,641,2018,ladakh,Q1
7,null,194103,458,2018,ladakh,Q1
8,null,194102,353,2018,ladakh,Q1
9,null,194105,259,2018,ladakh,Q1
10,null,194106,255,2018,ladakh,Q1
11,null,194703,241,2018,ladakh,Q1
12,leh ladakh,0,10733,2018,ladakh,Q2
13,kargil,0,2185,2018,ladakh,Q2
14,null,194104,3343,2018,ladakh,Q2
15,null,194101,2388,2018,ladakh,Q2
16,null,194201,2112,2018,ladakh,Q2
17,null,194107,984,2018,ladakh,Q2
18,null,194401,943,2018,ladakh,Q2
19,null,194103,655,2018,ladakh,Q2
20,null,194102,511,2018,ladakh,Q2
21,null,194105,361,2018,ladakh,Q2
22,null,194106,357,2018,ladakh,Q2
23,null,194703,342,2018,ladakh,Q2
24,leh ladakh,0,14617,2018,ladakh,Q3
25,kargil,0,3132,2018,ladakh,Q3
26,null,194104,4461,2018,ladakh,Q3
27,null,194101,3292,2018,ladakh,Q3
28,null,194201,2882,2018,ladakh,Q3
29,null,194107,1385,2018,ladakh,Q3
30,null,194401,1264,2018,ladakh,Q3
31,null,194103,976,2018,ladakh,Q3
32,null,194102,717,2018,ladakh,Q3
33,null,194105,534,2018,ladakh,Q3
34,null,194106,519,2018,ladakh,Q3
35,null,194703,468,2018,ladakh,Q3
36,leh ladakh,0,19447,2018,ladakh,Q4
37,kargil,0,4436,2018,ladakh,Q4
38,null,194104,5767,2018,ladakh,Q4
39,null,194101,4561,2018,ladakh,Q4
40,null,194201,3824,2018,ladakh,Q4
41,null,194107,1913,2018,ladakh,Q4
42,null,194401,1632,2018,ladakh,Q4
43,null,194103,1460,2018,ladakh,Q4
