,State name,No of Registered User,Pincode,Year,Quater
0,maharashtra,6106994,0,2018,Q1
1,uttar pradesh,4694250,0,2018,Q1
2,karnataka,3717763,0,2018,Q1
3,andhra pradesh,3336450,0,2018,Q1
4,telangana,3315560,0,2018,Q1
5,rajasthan,3158202,0,2018,Q1
6,gujarat,2690048,0,2018,Q1
7,west bengal,2604789,0,2018,Q1
8,madhya pradesh,2553603,0,2018,Q1
9,bihar,2133804,0,2018,Q1
10,null,114625,201301,2018,Q1
11,null,105012,500072,2018,Q1
12,null,98487,560068,2018,Q1
13,null,95496,110059,2018,Q1
14,null,83600,110092,2018,Q1
15,null,82656,122001,2018,Q1
16,null,75304,560037,2018,Q1
17,null,72275,395006,2018,Q1
18,null,71092,800001,2018,Q1
19,null,68098,302012,2018,Q1
20,maharashtra,8222371,0,2018,Q2
21,uttar pradesh,6442554,0,2018,Q2
22,karnataka,5030665,0,2018,Q2
23,andhra pradesh,4402540,0,2018,Q2
24,telangana,4260115,0,2018,Q2
25,rajasthan,4212964,0,2018,Q2
26,west bengal,3833795,0,2018,Q2
27,gujarat,3565825,0,2018,Q2
28,madhya pradesh,3441662,0,2018,Q2
29,bihar,3005872,0,2018,Q2
30,null,151073,201301,2018,Q2
31,null,129543,500072,2018,Q2
32,null,128921,560068,2018,Q2
33,null,124901,110059,2018,Q2
34,null,108175,110092,2018,Q2
35,null,107275,122001,2018,Q2
36,null,94711,800001,2018,Q2
37,null,94500,395006,2018,Q2
38,null,93771,560037,2018,Q2
39,null,89071,302012,2018,Q2
40,maharashtra,10435033,0,2018,Q3
41,uttar pradesh,8096483,0,2018,Q3
42,karnataka,6372649,0,2018,Q3
43,andhra pradesh,5427617,0,2018,Q3
44,rajasthan,5175453,0,2018,Q3
45,telangana,5138501,0,2018,Q3
46,west bengal,4851740,0,2018,Q3
47,gujarat,4433183,0,2018,Q3
48,madhya pradesh,4309309,0,2018,Q3
49,tamil nadu,3900177,0,2018,Q3
50,null,188664,201301,2018,Q3
51,null,156028,110059,2018,Q3
52,null,152034,500072,2018,Q3
53,null,151862,560068,2018,Q3
54,null,136676,110092,2018,Q3
55,null,130847,122001,2018,Q3
56,null,113391,395006,2018,Q3
57,null,107088,302012,2018,Q3
58,null,106572,560037,2018,Q3
59,null,106255,800001,2018,Q3
60,maharashtra,13381602,0,2018,Q4
61,uttar pradesh,10341964,0,2018,Q4
62,karnataka,8315802,0,2018,Q4
63,andhra pradesh,6857409,0,2018,Q4
64,telangana,6529679,0,2018,Q4
65,rajasthan,6358738,0,2018,Q4
66,west bengal,6279278,0,2018,Q4
67,gujarat,5579040,0,2018,Q4
68,madhya pradesh,5365442,0,2018,Q4
69,tamil nadu,5199878,0,2018,Q4
70,null,250205,201301,2018,Q4
71,null,206537,110059,2018,Q4
72,null,201605,560068,2018,Q4
73,null,177133,110092,2018,Q4
74,null,175163,500072,2018,Q4
75,null,163556,122001,2018,Q4
76,null,137280,560037,2018,Q4
77,null,134254,800001,2018,Q4
78,null,133412,110086,2018,Q4
79,null,132600,110085,2018,Q4
80,maharashtra,16284451,0,2019,Q1
81,uttar pradesh,12458661,0,2019,Q1
82,karnataka,10266174,0,2019,Q1
83,andhra pradesh,8283019,0,2019,Q1
84,telangana,7963425,0,2019,Q1
85,rajasthan,7712204,0,2019,Q1
86,west bengal,7449425,0,2019,Q1
87,gujarat,6652536,0,2019,Q1
88,madhya pradesh,6414403,0,2019,Q1
89,tamil nadu,6296303,0,2019,Q1
90,null,301260,201301,2019,Q1
91,null,246566,110059,2019,Q1
92,null,237280,560068,2019,Q1
