,Data From,Data To,Name,Type,Count,Amount,Year,State
0,1514745000000,1522175400000,Recharge & bill payments,TOTAL,201262,47479581.16264416,2018,chandigarh
1,1514745000000,1522175400000,Peer-to-peer payments,TOTAL,135136,527998849.34055936,2018,chandigarh
2,1514745000000,1522175400000,Merchant payments,TOTAL,21431,19477066.533276718,2018,chandigarh
3,1514745000000,1522175400000,Financial Services,TOTAL,8473,1865618.249949839,2018,chandigarh
4,1514745000000,1522175400000,Others,TOTAL,15593,16614305.58119321,2018,chandigarh
5,1514745000000,1522175400000,Recharge & bill payments,TOTAL,201262,47479581.16264416,2018,chandigarh
6,1514745000000,1522175400000,Peer-to-peer payments,TOTAL,135136,527998849.34055936,2018,chandigarh
7,1514745000000,1522175400000,Merchant payments,TOTAL,21431,19477066.533276718,2018,chandigarh
8,1514745000000,1522175400000,Financial Services,TOTAL,8473,1865618.249949839,2018,chandigarh
9,1514745000000,1522175400000,Others,TOTAL,15593,16614305.58119321,2018,chandigarh
10,1522521000000,1530124200000,Recharge & bill payments,TOTAL,224548,76722906.67871952,2018,chandigarh
11,1522521000000,1530124200000,Peer-to-peer payments,TOTAL,194627,835296156.4220204,2018,chandigarh
12,1522521000000,1530124200000,Merchant payments,TOTAL,34606,29408471.506333277,2018,chandigarh
13,1522521000000,1530124200000,Financial Services,TOTAL,11927,3679451.8635118967,2018,chandigarh
14,1522521000000,1530124200000,Others,TOTAL,13376,16116275.274144217,2018,chandigarh
15,1530383400000,1538073000000,Peer-to-peer payments,TOTAL,295358,1217617705.9681761,2018,chandigarh
16,1530383400000,1538073000000,Recharge & bill payments,TOTAL,236445,100639674.6708905,2018,chandigarh
17,1530383400000,1538073000000,Merchant payments,TOTAL,64998,37560565.97386869,2018,chandigarh
18,1530383400000,1538073000000,Financial Services,TOTAL,7642,1302311.5967954171,2018,chandigarh
19,1530383400000,1538073000000,Others,TOTAL,12493,12234189.324580798,2018,chandigarh
20,1538332200000,1545935400000,Peer-to-peer payments,TOTAL,431461,1793871702.3196409,2018,chandigarh
21,1538332200000,1545935400000,Recharge & bill payments,TOTAL,310527,128130475.99274208,2018,chandigarh
22,1538332200000,1545935400000,Merchant payments,TOTAL,135266,94010713.60616027,2018,chandigarh
23,1538332200000,1545935400000,Financial Services,TOTAL,10008,2039811.3372037038,2018,chandigarh
24,1538332200000,1545935400000,Others,TOTAL,17854,14538888.5242277,2018,chandigarh
25,1546281000000,1553711400000,Peer-to-peer payments,TOTAL,689400,2123866601.6513758,2019,chandigarh
26,1546281000000,1553711400000,Recharge & bill payments,TOTAL,390610,161414934.10238376,2019,chandigarh
27,1546281000000,1553711400000,Merchant payments,TOTAL,169984,97230471.44089967,2019,chandigarh
28,1546281000000,1553711400000,Financial Services,TOTAL,7412,917030.9066760786,2019,chandigarh
29,1546281000000,1553711400000,Others,TOTAL,17070,12603012.342693318,2019,chandigarh
30,1554057000000,1561660200000,Peer-to-peer payments,TOTAL,604849,2339922407.523348,2019,chandigarh
31,1554057000000,1561660200000,Recharge & bill payments,TOTAL,342294,185659011.54417655,2019,chandigarh
32,1554057000000,1561660200000,Merchant payments,TOTAL,277811,152766864.66190332,2019,chandigarh
33,1554057000000,1561660200000,Financial Services,TOTAL,5590,839765.161351582,2019,chandigarh
34,1554057000000,1561660200000,Others,TOTAL,21926,13928050.053676538,2019,chandigarh
35,1561919400000,1569609000000,Peer-to-peer payments,TOTAL,722233,2815184152.8041325,2019,chandigarh
36,1561919400000,1569609000000,Merchant payments,TOTAL,447069,226535908.8355719,2019,chandigarh
37,1561919400000,1569609000000,Recharge & bill payments,TOTAL,308219,213884900.47217816,2019,chandigarh
38,1561919400000,1569609000000,Financial Services,TOTAL,2447,794918.674981478,2019,chandigarh
39,1561919400000,1569609000000,Others,TOTAL,26575,13282206.873976795,2019,chandigarh
40,1569868200000,1577471400000,Peer-to-peer payments,TOTAL,927850,3586763928.6423693,2019,chandigarh
41,1569868200000,1577471400000,Merchant payments,TOTAL,561630,318692521.79224944,2019,chandigarh
42,1569868200000,1577471400000,Recharge & bill payments,TOTAL,338203,237695594.96329552,2019,chandigarh
43,1569868200000,1577471400000,Financial Services,TOTAL,1911,654298.6785004465,2019,chandigarh
44,1569868200000,1577471400000,Others,TOTAL,21321,8707473.86293627,2019,chandigarh
45,1577817000000,1585333800000,Peer-to-peer payments,TOTAL,1087401,4421372542.468033,2020,chandigarh
46,1577817000000,1585333800000,Merchant payments,TOTAL,764832,438193845.4527705,2020,chandigarh
47,1577817000000,1585333800000,Recharge & bill payments,TOTAL,389851,257250007.2445577,2020,chandigarh
48,1577817000000,1585333800000,Financial Services,TOTAL,1574,1406138.1883251297,2020,chandigarh
49,1577817000000,1585333800000,Others,TOTAL,18853,8230536.662513691,2020,chandigarh
50,1585679400000,1593282600000,Peer-to-peer payments,TOTAL,766698,3293060119.5471582,2020,chandigarh
51,1585679400000,1593282600000,Merchant payments,TOTAL,390906,331423259.0003719,2020,chandigarh
52,1585679400000,1593282600000,Recharge & bill payments,TOTAL,361577,214425229.3354035,2020,chandigarh
53,1585679400000,1593282600000,Financial Services,TOTAL,1797,3982005.1176844486,2020,chandigarh
54,1585679400000,1593282600000,Others,TOTAL,7032,4125116.689457224,2020,chandigarh
55,1593541800000,1601231400000,Peer-to-peer payments,TOTAL,981986,4178346395.412492,2020,chandigarh
56,1593541800000,1601231400000,Merchant payments,TOTAL,796634,604271248.9262259,2020,chandigarh
57,1593541800000,1601231400000,Recharge & bill payments,TOTAL,366353,296964794.9657042,2020,chandigarh
58,1593541800000,1601231400000,Financial Services,TOTAL,2643,5254415.457263877,2020,chandigarh
59,1593541800000,1601231400000,Others,TOTAL,10470,4972498.603385328,2020,chandigarh
60,1601490600000,1609093800000,Merchant payments,TOTAL,1322026,939307675.8510206,2020,chandigarh
